W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 6, 50/50/0, 3.00, 2, 1
1, 5, 5, 20/60/20, 2.50, 2, 0
2, 5, 5, 40/0/60, 5.00, 0, 1
3, 6, 6, 17/33/50, 3.00, 1, 0
4, 6, 6, 0/83/17, 3.00, 2, 0
5, 6, 6, 50/17/33, 3.00, 0, 1
6, 5, 5, 0/80/20, 2.50, 0, 1
7, 6, 6, 17/33/50, 3.00, 0, 1
8, 5, 5, 40/20/40, 1.67, 4, 1
9, 4, 4, 50/25/25, 1.33, 1, 0
10, 2, 2, 50/0/50, 1.00, 0, 1
11, 4, 4, 50/50/0, 2.00, 0, 1
12, 5, 5, 20/0/80, 2.50, 0, 0
13, 4, 4, 50/25/25, 1.33, 0, 0
14, 4, 4, 75/25/0, 2.00, 0, 0
15, 4, 4, 0/0/100, 1.33, 0, 0
16, 4, 4, 75/0/25, 2.00, 0, 0
17, 5, 5, 20/80/0, 5.00, 0, 0
18, 5, 5, 40/40/20, 1.67, 0, 1
19, 5, 5, 40/0/60, 2.50, 0, 1
20, 4, 4, 50/50/0, 2.00, 0, 0
21, 5, 5, 20/20/60, 2.50, 0, 0
