W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 80/20/0, 2.50, 1, 0
1, 6, 6, 17/50/33, 3.00, 3, 1
2, 5, 5, 40/0/60, 5.00, 0, 1
3, 5, 5, 20/40/40, 5.00, 1, 0
4, 5, 5, 0/100/0, 1.67, 0, 0
5, 6, 6, 33/33/33, 3.00, 0, 0
6, 5, 5, 0/80/20, 2.50, 2, 1
7, 5, 5, 20/40/40, 1.67, 1, 1
8, 5, 5, 40/20/40, 1.67, 0, 1
9, 5, 5, 60/20/20, 1.67, 2, 0
10, 1, 1, 0/0/100, 1.00, 0, 0
11, 5, 5, 60/20/20, 1.67, 0, 1
12, 5, 5, 20/0/80, 5.00, 0, 0
13, 5, 5, 40/60/0, 2.50, 0, 0
14, 3, 3, 100/0/0, 1.50, 0, 0
15, 6, 6, 0/0/100, 3.00, 0, 0
16, 5, 5, 80/0/20, 1.67, 0, 0
17, 5, 5, 0/100/0, 5.00, 0, 0
18, 5, 5, 40/40/20, 1.67, 0, 1
19, 5, 5, 20/0/80, 2.50, 0, 1
20, 5, 5, 60/40/0, 2.50, 0, 0
21, 3, 3, 0/33/67, 1.50, 0, 0
