['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -197450000.0, -396396000.0, -271050063.49206346, -198193000.0, 14, 49, 38, 0.10895361380798274
2, -146345000.0, -198533000.0, -178862500.0, -146345000.0, 9, 29, 63, 0.1281725888324873
3, -146307000.0, -197376000.0, -155894400.0, -147402000.0, 5, 45, 51, 0.12287104622871046
4, -146069000.0, -197402000.0, -149358934.7826087, -146323000.0, 7, 39, 55, 0.11399548532731377
5, -144884000.0, -147822000.0, -146089859.6491228, -147822000.0, 4, 53, 44, 0.1270440251572327
6, -143721000.0, -147822000.0, -145139158.73015872, -146080000.0, 12, 51, 38, 0.14165497896213183
7, -144531000.0, -148154000.0, -145679741.37931034, -146982000.0, 13, 45, 43, 0.1113561190738699
8, -144746000.0, -147334000.0, -146199906.25, -146910000.0, 13, 51, 37, 0.11910377358490566
9, -143770000.0, -147610000.0, -145168425.92592594, -145502000.0, 13, 41, 47, 0.13685636856368563
10, -145085000.0, -148680000.0, -146877980.76923078, -147742000.0, 13, 39, 49, 0.13065976714100905
11, -146321000.0, -148351000.0, -147264954.54545453, -148351000.0, 8, 36, 57, 0.16777408637873753
12, -147358000.0, -149753000.0, -148497743.58974358, -147445000.0, 7, 32, 62, 0.18264014466546113
13, -145291000.0, -147859000.0, -146644400.0, -145988000.0, 11, 39, 51, 0.16396103896103897
14, -145291000.0, -148080000.0, -146562934.7826087, -146583000.0, 8, 38, 55, 0.12438423645320197
15, -146350000.0, -147797000.0, -147495736.84210527, -146730000.0, 11, 46, 44, 0.1334214002642008
16, -146030000.0, -148055000.0, -147178117.6470588, -148055000.0, 7, 44, 50, 0.1173054587688734
17, -147722000.0, -148862000.0, -148072283.0188679, -148522000.0, 12, 41, 48, 0.135752688172043
18, -146728000.0, -150588000.0, -148771500.0, -149958000.0, 7, 35, 59, 0.1192443919716647
19, -148059000.0, -150298000.0, -149680705.88235295, -148391000.0, 8, 43, 50, 0.10966340933767643
20, -147605000.0, -149381000.0, -148395981.13207546, -147605000.0, 10, 43, 48, 0.12242424242424242
21, -145646000.0, -148793000.0, -147704982.45614034, -148793000.0, 8, 49, 44, 0.10520833333333333
22, -148254000.0, -150707000.0, -149126076.92307693, -148943000.0, 6, 33, 62, 0.14008321775312066
23, -146286000.0, -149885000.0, -148205114.75409836, -147314000.0, 10, 51, 40, 0.14066852367688024
24, -146285000.0, -147964000.0, -147011354.16666666, -146660000.0, 8, 40, 53, 0.1275252525252525
25, -145960000.0, -148819000.0, -147044433.96226415, -148116000.0, 9, 44, 48, 0.1275252525252525
26, -147030000.0, -149523000.0, -148050843.1372549, -147811000.0, 9, 42, 50, 0.1348464619492657
27, -147482000.0, -149232000.0, -148402357.14285713, -148560000.0, 10, 32, 59, 0.1211031175059952
28, -144848000.0, -149640000.0, -146336300.0, -146583000.0, 12, 38, 51, 0.13185378590078328
29, -143825000.0, -147734000.0, -145383923.07692307, -145248000.0, 15, 50, 36, 0.12423124231242312
30, -144865000.0, -148457000.0, -146625839.2857143, -147084000.0, 14, 42, 45, 0.10848549946294307
31, -144900000.0, -147084000.0, -145891142.85714287, -145760000.0, 13, 43, 45, 0.1251548946716233
32, -143783000.0, -147860000.0, -146392509.43396226, -147520000.0, 6, 47, 48, 0.15233785822021115
33, -144943000.0, -148127000.0, -146670725.49019608, -145264000.0, 13, 38, 50, 0.11477272727272728
34, -144884000.0, -146703000.0, -145809291.66666666, -146703000.0, 7, 41, 53, 0.13854595336076816
35, -144523000.0, -146706000.0, -145965180.0, -145646000.0, 8, 42, 51, 0.1294871794871795
36, -143746000.0, -147046000.0, -145916262.29508197, -146950000.0, 13, 48, 40, 0.12287104622871046
37, -146683000.0, -148830000.0, -147477530.6122449, -146726000.0, 5, 44, 52, 0.1377899045020464
38, -145286000.0, -149823000.0, -147796241.37931034, -149573000.0, 11, 47, 43, 0.12212817412333736
39, -146303000.0, -149573000.0, -148418750.0, -147460000.0, 8, 44, 49, 0.12154031287605295
40, -146321000.0, -148833000.0, -147504702.1276596, -146978000.0, 9, 38, 54, 0.1270440251572327
41, -145895000.0, -148995000.0, -146735264.1509434, -148995000.0, 5, 48, 48, 0.09291628334866606
42, -145565000.0, -147662000.0, -146335784.3137255, -145565000.0, 10, 41, 50, 0.13950276243093923
43, -145185000.0, -147962000.0, -146602962.96296296, -147110000.0, 7, 47, 47, 0.11272321428571429
44, -144130000.0, -148100000.0, -146660200.0, -144133000.0, 8, 42, 51, 0.12302070645554203
45, -144867000.0, -196320000.0, -158585638.29787233, -196320000.0, 7, 40, 54, 0.1434659090909091
46, -194874000.0, -197155000.0, -196043087.71929824, -195207000.0, 6, 51, 44, 0.12023809523809524
47, -194504000.0, -199179000.0, -196706681.8181818, -196931000.0, 11, 55, 35, 0.13049095607235142
48, -144562000.0, -197018000.0, -164362169.4915254, -144562000.0, 13, 46, 42, 0.13911845730027547
49, -144562000.0, -148063000.0, -146460365.85365853, -147416000.0, 9, 32, 60, 0.1273644388398487
50, -146388000.0, -147816000.0, -147070000.0, -146826000.0, 8, 45, 48, 0.11002178649237472
