['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -197450000.0, -396396000.0, -271050063.49206346, -198193000.0, 14, 49, 38, 0.10895361380798274
2, -146345000.0, -198533000.0, -178862500.0, -146345000.0, 9, 29, 63, 0.1281725888324873
3, -146307000.0, -197376000.0, -155894400.0, -147402000.0, 5, 45, 51, 0.12287104622871046
4, -146069000.0, -197402000.0, -149358934.7826087, -146323000.0, 7, 39, 55, 0.11399548532731377
5, -144884000.0, -147822000.0, -146089859.6491228, -147822000.0, 4, 53, 44, 0.1270440251572327
6, -143721000.0, -147822000.0, -145139158.73015872, -146080000.0, 12, 51, 38, 0.14165497896213183
7, -144531000.0, -148154000.0, -145679741.37931034, -146982000.0, 13, 45, 43, 0.1113561190738699
8, -144746000.0, -147334000.0, -146199906.25, -146910000.0, 13, 51, 37, 0.11910377358490566
9, -143770000.0, -147610000.0, -145168425.92592594, -145502000.0, 13, 41, 47, 0.13685636856368563
10, -145085000.0, -148680000.0, -146877980.76923078, -147742000.0, 13, 39, 49, 0.13065976714100905
11, -146321000.0, -148351000.0, -147264954.54545453, -148351000.0, 8, 36, 57, 0.16777408637873753
12, -147358000.0, -149753000.0, -148497743.58974358, -147445000.0, 7, 32, 62, 0.18264014466546113
13, -145291000.0, -147859000.0, -146644400.0, -145988000.0, 11, 39, 51, 0.16396103896103897
14, -145291000.0, -148080000.0, -146562934.7826087, -146583000.0, 8, 38, 55, 0.12438423645320197
15, -146350000.0, -147797000.0, -147495736.84210527, -146730000.0, 11, 46, 44, 0.1334214002642008
16, -146030000.0, -148055000.0, -147178117.6470588, -148055000.0, 7, 44, 50, 0.1173054587688734
17, -147722000.0, -148862000.0, -148072283.0188679, -148522000.0, 12, 41, 48, 0.135752688172043
18, -146728000.0, -150588000.0, -148771500.0, -149958000.0, 7, 35, 59, 0.1192443919716647
19, -148059000.0, -150298000.0, -149680705.88235295, -148391000.0, 8, 43, 50, 0.10966340933767643
20, -147605000.0, -149381000.0, -148395981.13207546, -147605000.0, 10, 43, 48, 0.12242424242424242
21, -145646000.0, -148793000.0, -147704982.45614034, -148793000.0, 8, 49, 44, 0.10520833333333333
22, -148254000.0, -150707000.0, -149126076.92307693, -148943000.0, 6, 33, 62, 0.14008321775312066
23, -146286000.0, -149885000.0, -148205114.75409836, -147314000.0, 10, 51, 40, 0.14066852367688024
24, -146285000.0, -147964000.0, -147011354.16666666, -146660000.0, 8, 40, 53, 0.1275252525252525
25, -145960000.0, -148129000.0, -147009098.03921568, -147338000.0, 7, 44, 50, 0.12139423076923077
26, -147032000.0, -149195000.0, -148158673.46938777, -147035000.0, 8, 41, 52, 0.14852941176470588
27, -146708000.0, -149551000.0, -148367217.39130434, -147862000.0, 8, 38, 55, 0.14185393258426968
28, -147783000.0, -149592000.0, -148196375.0, -149592000.0, 8, 48, 45, 0.11542857142857142
29, -148149000.0, -149932000.0, -148886200.0, -148865000.0, 13, 47, 41, 0.14285714285714285
30, -147748000.0, -149519000.0, -148659777.7777778, -149219000.0, 6, 39, 56, 0.1212484993997599
31, -148478000.0, -149899000.0, -149220020.83333334, -149267000.0, 11, 37, 53, 0.12317073170731707
32, -146994000.0, -150215000.0, -147706277.7777778, -147823000.0, 7, 47, 47, 0.11635944700460829
33, -146366000.0, -147823000.0, -147317653.0612245, -147275000.0, 9, 40, 52, 0.1234718826405868
34, -146283000.0, -148353000.0, -147149040.0, -146291000.0, 6, 44, 51, 0.13133940182054615
35, -145918000.0, -149133000.0, -147765964.9122807, -147693000.0, 12, 45, 44, 0.13289473684210526
36, -147736000.0, -150238000.0, -149236708.33333334, -148984000.0, 10, 38, 53, 0.11854460093896714
37, -148230000.0, -150300000.0, -149057155.55555555, -149310000.0, 6, 39, 56, 0.14744525547445256
38, -148530000.0, -149647000.0, -149146217.39130434, -149647000.0, 6, 40, 55, 0.13797814207650272
39, -147490000.0, -150310000.0, -148499375.0, -148527000.0, 7, 41, 53, 0.12849872773536897
40, -147810000.0, -150257000.0, -149447720.93023255, -148850000.0, 9, 34, 58, 0.1281725888324873
41, -148150000.0, -149597000.0, -148953657.89473686, -148561000.0, 5, 33, 63, 0.12998712998713
42, -147530000.0, -150014000.0, -148610000.0, -148567000.0, 7, 30, 64, 0.13741496598639455
43, -147802000.0, -149875000.0, -148425550.0, -148844000.0, 10, 30, 61, 0.13704206241519673
44, -147087000.0, -148947000.0, -148081794.87179488, -147847000.0, 7, 32, 62, 0.13520749665327977
45, -145229000.0, -147847000.0, -147046314.8148148, -145229000.0, 11, 43, 47, 0.12609238451935081
46, -145229000.0, -147547000.0, -146970880.0, -147547000.0, 3, 47, 51, 0.14066852367688024
47, -96253000.0, -148701000.0, -123426295.45454545, -96593000.0, 6, 38, 57, 0.1463768115942029
48, -95223000.0, -98055000.0, -96891234.04255319, -96722000.0, 7, 40, 54, 0.12362301101591187
49, -95982000.0, -98092000.0, -97102526.31578948, -98089000.0, 5, 33, 63, 0.15326251896813353
50, -97397000.0, -98136000.0, -97924375.0, -98096000.0, 3, 21, 77, 0.15419847328244274
51, -97762000.0, -98139000.0, -98097878.78787878, -97762000.0, 4, 29, 68, 0.12720403022670027
52, -96678000.0, -97801000.0, -97583027.77777778, -97764000.0, 3, 33, 65, 0.12720403022670027
53, -97764000.0, -98481000.0, -98364000.0, -98481000.0, 0, 22, 79, 0.14145658263305322
54, -97766000.0, -99263000.0, -98337000.0, -98503000.0, 5, 31, 65, 0.15165165165165165
55, -98543000.0, -98923000.0, -98737696.96969697, -98584000.0, 2, 31, 68, 0.15074626865671642
56, -98581000.0, -99641000.0, -99180733.33333333, -99477000.0, 6, 24, 71, 0.13950276243093923
57, -98060000.0, -99564000.0, -99208354.16666667, -98060000.0, 6, 42, 53, 0.13151041666666666
58, -96721000.0, -99137000.0, -97825956.52173913, -99137000.0, 4, 42, 55, 0.1288265306122449
59, -98377000.0, -98797000.0, -98494242.42424242, -98380000.0, 7, 26, 68, 0.1273644388398487
60, -97680000.0, -99450000.0, -98414444.44444445, -98040000.0, 5, 31, 65, 0.14305949008498584
61, -96002000.0, -98405000.0, -97541228.57142857, -96702000.0, 5, 30, 66, 0.17413793103448275
62, -96217000.0, -99407000.0, -97596714.28571428, -96949000.0, 10, 39, 52, 0.14407988587731813
63, -95882000.0, -97625000.0, -96460297.2972973, -96233000.0, 7, 30, 64, 0.12407862407862408
64, -94863000.0, -97675000.0, -96260375.0, -96759000.0, 5, 51, 45, 0.1286624203821656
65, -95639000.0, -97015000.0, -96179441.1764706, -97015000.0, 3, 31, 67, 0.13202614379084968
66, -96025000.0, -98095000.0, -97546886.36363636, -97355000.0, 4, 40, 57, 0.12423124231242312
67, -96665000.0, -99132000.0, -97623133.33333333, -97082000.0, 9, 36, 56, 0.11014176663031625
68, -97005000.0, -98375000.0, -97376545.45454545, -97085000.0, 7, 37, 57, 0.12784810126582277
69, -97085000.0, -99262000.0, -98404756.09756097, -99262000.0, 1, 40, 60, 0.11335578002244669
70, -97765000.0, -99259000.0, -98298941.1764706, -99259000.0, 3, 31, 67, 0.11966824644549763
71, -97445000.0, -99339000.0, -98825605.26315789, -97445000.0, 4, 34, 63, 0.09844054580896686
72, -97065000.0, -99209000.0, -97910891.8918919, -98837000.0, 6, 31, 64, 0.1341301460823373
73, -96327000.0, -98541000.0, -97627069.76744185, -96784000.0, 9, 34, 58, 0.13289473684210526
74, -96404000.0, -98641000.0, -97161388.8888889, -97901000.0, 4, 32, 65, 0.1334214002642008
75, -95604000.0, -97904000.0, -96563187.5, -96364000.0, 7, 25, 69, 0.11123348017621146
76, -96364000.0, -98511000.0, -97765947.36842105, -98474000.0, 3, 35, 63, 0.10337768679631525
77, -98187000.0, -99682000.0, -99044666.66666667, -99592000.0, 5, 37, 59, 0.11386696730552424
78, -96685000.0, -99592000.0, -98006416.66666667, -96685000.0, 7, 41, 53, 0.09730250481695568
79, -96345000.0, -98020000.0, -97183377.77777778, -97390000.0, 5, 40, 56, 0.1094257854821235
80, -97390000.0, -98467000.0, -97728000.0, -98467000.0, 2, 46, 53, 0.11272321428571429
81, -97027000.0, -99137000.0, -98345571.42857143, -97407000.0, 6, 36, 59, 0.11595866819747416
82, -96899000.0, -98397000.0, -97701928.57142857, -96899000.0, 7, 35, 59, 0.13835616438356163
83, -95546000.0, -98489000.0, -96845127.65957446, -98489000.0, 5, 42, 54, 0.11503416856492027
84, -97072000.0, -99646000.0, -99015148.9361702, -97072000.0, 6, 41, 54, 0.12317073170731707
85, -95603000.0, -97109000.0, -96351545.45454545, -96023000.0, 4, 29, 68, 0.12577833125778332
86, -96023000.0, -98519000.0, -97939054.54545455, -97886000.0, 8, 47, 46, 0.10676532769556026
87, -97466000.0, -99636000.0, -98170276.59574468, -99636000.0, 6, 41, 54, 0.11635944700460829
88, -97436000.0, -99636000.0, -98424354.16666667, -97756000.0, 9, 39, 53, 0.14326241134751774
89, -96006000.0, -98623000.0, -97868953.48837209, -97883000.0, 4, 39, 58, 0.1158256880733945
90, -97063000.0, -98506000.0, -97765488.37209302, -97063000.0, 7, 36, 58, 0.10509885535900104
91, -97063000.0, -98513000.0, -97898131.57894737, -98476000.0, 4, 34, 63, 0.12332112332112333
92, -98146000.0, -99606000.0, -99183184.21052632, -99606000.0, 1, 37, 63, 0.14185393258426968
93, -98103000.0, -99643000.0, -98944777.77777778, -98103000.0, 6, 30, 65, 0.1316818774445893
94, -97716000.0, -99173000.0, -98603676.47058824, -98563000.0, 3, 31, 67, 0.12332112332112333
95, -96686000.0, -98563000.0, -98211461.53846154, -96723000.0, 6, 33, 62, 0.11910377358490566
96, -95986000.0, -98786000.0, -97508395.34883721, -97399000.0, 9, 34, 58, 0.12453760789149199
97, -97019000.0, -98789000.0, -97494757.57575758, -97503000.0, 3, 30, 68, 0.1113561190738699
98, -96349000.0, -97503000.0, -96724152.17391305, -96349000.0, 6, 40, 55, 0.11259754738015608
99, -96349000.0, -98789000.0, -98074600.0, -98499000.0, 3, 47, 51, 0.1348464619492657
100, -97466000.0, -98876000.0, -98444139.53488372, -97809000.0, 6, 37, 58, 0.12198067632850242
101, -97432000.0, -98889000.0, -98331822.22222222, -97772000.0, 6, 39, 56, 0.14145658263305322
102, -96202000.0, -100132000.0, -97769100.0, -96202000.0, 8, 42, 51, 0.12656641604010024
103, -96202000.0, -99832000.0, -97477695.6521739, -97109000.0, 9, 37, 55, 0.15930599369085174
104, -96692000.0, -98422000.0, -97380220.0, -96692000.0, 7, 43, 51, 0.12407862407862408
105, -96312000.0, -97759000.0, -96760865.38461539, -96642000.0, 6, 46, 49, 0.1286624203821656
106, -96639000.0, -98185000.0, -97400925.92592593, -97400000.0, 8, 46, 47, 0.1353887399463807
107, -97360000.0, -99512000.0, -98597000.0, -97782000.0, 8, 44, 49, 0.1218335343787696
108, -97466000.0, -98966000.0, -97995166.66666667, -98079000.0, 6, 36, 59, 0.1487481590574374
109, -96009000.0, -97086000.0, -96608676.47058824, -96746000.0, 4, 30, 67, 0.13911845730027547
110, -96303000.0, -98416000.0, -97070200.0, -96303000.0, 6, 24, 71, 0.1629032258064516
111, -96303000.0, -98126000.0, -97947281.25, -96726000.0, 3, 29, 69, 0.11425339366515837
112, -96689000.0, -98852000.0, -97859769.23076923, -98089000.0, 10, 42, 49, 0.14407988587731813
113, -97032000.0, -98889000.0, -97902750.0, -98546000.0, 5, 35, 61, 0.1337748344370861
114, -97449000.0, -99640000.0, -99252823.52941176, -97449000.0, 4, 30, 67, 0.1518796992481203
115, -97146000.0, -98523000.0, -97541138.8888889, -97483000.0, 6, 30, 65, 0.1188235294117647
116, -97449000.0, -98523000.0, -97622878.78787878, -97489000.0, 3, 30, 68, 0.1073326248671626
117, -97449000.0, -97526000.0, -97475045.45454545, -97486000.0, 2, 42, 57, 0.14305949008498584
118, -97449000.0, -98563000.0, -97720950.0, -98563000.0, 4, 36, 61, 0.15097159940209268
119, -98526000.0, -99646000.0, -98995565.2173913, -98782000.0, 4, 42, 55, 0.11744186046511627
120, -95946000.0, -99849000.0, -98633833.33333333, -97066000.0, 6, 36, 59, 0.1470160116448326
