['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -197450000.0, -396396000.0, -271050063.49206346, -198193000.0, 14, 49, 38, 0.10895361380798274
2, -146345000.0, -198533000.0, -178862500.0, -146345000.0, 9, 29, 63, 0.1281725888324873
3, -145634000.0, -147569000.0, -146299800.0, -147326000.0, 11, 39, 51, 0.11272321428571429
4, -145656000.0, -148536000.0, -147230700.0, -147513000.0, 10, 50, 41, 0.1
5, -146035000.0, -148192000.0, -147507930.23255813, -146035000.0, 8, 35, 58, 0.15955766192733017
6, -145630000.0, -148901000.0, -146278468.08510637, -148901000.0, 8, 39, 54, 0.11147902869757174
7, -146660000.0, -148901000.0, -147105069.76744187, -148233000.0, 7, 36, 58, 0.13202614379084968
8, -144582000.0, -148973000.0, -146477868.42105263, -144617000.0, 6, 32, 63, 0.14066852367688024
9, -143491000.0, -146969000.0, -146028543.85964912, -146684000.0, 10, 47, 44, 0.12625
10, -145943000.0, -148414000.0, -146940822.58064517, -147464000.0, 7, 55, 39, 0.1273644388398487
11, -147464000.0, -149663000.0, -148711433.96226415, -149663000.0, 3, 50, 48, 0.13015463917525774
12, -145209000.0, -149663000.0, -147413117.6470588, -145499000.0, 11, 40, 50, 0.1256218905472637
13, -144916000.0, -147063000.0, -145816053.57142857, -145296000.0, 9, 47, 45, 0.14145658263305322
14, -144219000.0, -147969000.0, -146318520.0, -145987000.0, 8, 42, 51, 0.12362301101591187
15, -145987000.0, -150030000.0, -148060403.22580644, -150030000.0, 10, 52, 39, 0.1270440251572327
16, -145996000.0, -150030000.0, -147892184.6153846, -145996000.0, 11, 54, 36, 0.13289473684210526
17, -147113000.0, -149377000.0, -148136288.8888889, -148010000.0, 9, 36, 56, 0.13306982872200263
18, -99470000.0, -150924000.0, -133019192.3076923, -99887000.0, 6, 46, 49, 0.1227217496962333
19, -98008000.0, -99555000.0, -98388388.8888889, -98008000.0, 5, 31, 65, 0.13557046979865772
20, -97765000.0, -100405000.0, -98657411.76470588, -98795000.0, 9, 42, 50, 0.12287104622871046
21, -96684000.0, -100492000.0, -98067700.0, -96686000.0, 7, 33, 61, 0.1316818774445893
22, -96686000.0, -98166000.0, -97502567.56756757, -97766000.0, 5, 32, 64, 0.14285714285714285
23, -96726000.0, -98886000.0, -98196967.74193548, -97806000.0, 4, 27, 70, 0.15396341463414634
24, -96323000.0, -99118000.0, -97744575.75757575, -96323000.0, 6, 27, 68, 0.14165497896213183
25, -95986000.0, -98136000.0, -97031090.9090909, -97063000.0, 7, 26, 68, 0.1449067431850789
26, -96362000.0, -98394000.0, -97396750.0, -98394000.0, 5, 35, 61, 0.15029761904761904
27, -96707000.0, -98394000.0, -97863848.48484848, -97354000.0, 4, 29, 68, 0.1316818774445893
28, -95604000.0, -98012000.0, -96834214.28571428, -97725000.0, 10, 32, 59, 0.14008321775312066
29, -97307000.0, -98004000.0, -97605076.92307693, -97727000.0, 5, 34, 62, 0.15210843373493976
30, -96020000.0, -98757000.0, -97553500.0, -96020000.0, 4, 36, 61, 0.1341301460823373
31, -94865000.0, -97032000.0, -96028466.66666667, -95242000.0, 6, 39, 56, 0.13611859838274934
32, -94487000.0, -96699000.0, -95412500.0, -94490000.0, 5, 25, 71, 0.17939609236234458
33, -93790000.0, -98098000.0, -96006477.27272727, -98098000.0, 7, 37, 57, 0.13395225464190982
34, -94834000.0, -98473000.0, -96514645.16129032, -97355000.0, 5, 26, 70, 0.17206132879045996
35, -96655000.0, -97865000.0, -97558750.0, -97860000.0, 3, 25, 73, 0.15805946791862285
36, -95962000.0, -97860000.0, -96924411.76470588, -97799000.0, 6, 28, 67, 0.15707620528771385
37, -97019000.0, -97801000.0, -97497965.51724137, -97461000.0, 3, 26, 72, 0.13722826086956522
38, -97461000.0, -98956000.0, -98208555.55555555, -98087000.0, 3, 24, 74, 0.14387464387464388
39, -97709000.0, -99256000.0, -98287466.66666667, -99256000.0, 2, 28, 71, 0.13892709766162312
40, -98244000.0, -99256000.0, -98829343.75, -98578000.0, 5, 27, 69, 0.12915601023017903
41, -97464000.0, -98618000.0, -98534280.0, -98241000.0, 3, 22, 76, 0.1276864728192162
42, -97104000.0, -98958000.0, -98236564.1025641, -97104000.0, 9, 30, 62, 0.11952662721893491
43, -96366000.0, -98921000.0, -97985900.0, -96366000.0, 4, 26, 71, 0.14106145251396648
44, -96366000.0, -97103000.0, -96549566.66666667, -96426000.0, 2, 28, 71, 0.12640801001251564
45, -96023000.0, -98138000.0, -97171195.12195122, -96981000.0, 7, 34, 60, 0.15303030303030302
46, -96733000.0, -100158000.0, -98184631.57894737, -98500000.0, 4, 34, 63, 0.13760217983651227
47, -95989000.0, -98500000.0, -97341585.36585365, -95989000.0, 8, 33, 60, 0.12332112332112333
48, -94206000.0, -98170000.0, -96379863.63636364, -98170000.0, 8, 36, 57, 0.1434659090909091
49, -96404000.0, -99541000.0, -98054864.86486487, -97901000.0, 5, 32, 64, 0.12198067632850242
50, -95664000.0, -98931000.0, -96933055.55555555, -96721000.0, 6, 30, 65, 0.12362301101591187
