W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 6, 17/50/33, 3.00, 1, 1
1, 5, 5, 20/0/80, 2.50, 1, 1
2, 5, 5, 40/60/0, 2.50, 0, 1
3, 5, 5, 100/0/0, 2.50, 1, 0
4, 5, 5, 20/20/60, 1.67, 2, 1
5, 6, 6, 33/67/0, 3.00, 0, 0
6, 6, 6, 17/17/67, 3.00, 1, 0
7, 5, 5, 60/0/40, 2.50, 2, 0
8, 5, 5, 40/60/0, 5.00, 1, 0
9, 5, 5, 60/20/20, 2.50, 2, 1
10, 5, 5, 40/0/60, 2.50, 0, 0
11, 5, 5, 0/40/60, 2.50, 0, 0
12, 5, 5, 40/60/0, 1.67, 0, 0
13, 3, 3, 33/33/33, 3.00, 0, 0
14, 3, 3, 0/0/100, 1.00, 0, 0
15, 6, 6, 50/33/17, 3.00, 0, 1
16, 5, 5, 0/80/20, 2.50, 0, 0
17, 2, 2, 0/50/50, 1.00, 0, 0
18, 3, 3, 0/67/33, 1.50, 0, 0
19, 5, 5, 20/40/40, 2.50, 0, 1
20, 5, 5, 20/40/40, 1.67, 0, 0
21, 5, 5, 80/0/20, 2.50, 0, 0
