W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 6, 83/17/0, 3.00, 3, 0
1, 6, 6, 0/100/0, 6.00, 1, 0
2, 5, 5, 60/40/0, 1.67, 0, 0
3, 6, 6, 33/0/67, 3.00, 1, 0
4, 6, 6, 0/0/100, 3.00, 3, 0
5, 5, 5, 40/20/40, 2.50, 0, 0
6, 6, 6, 17/67/17, 3.00, 1, 0
7, 6, 6, 17/83/0, 3.00, 2, 0
8, 5, 5, 60/0/40, 2.50, 0, 0
9, 5, 5, 20/40/40, 2.50, 3, 0
10, 5, 5, 0/0/100, 1.67, 0, 0
11, 3, 3, 67/33/0, 1.50, 0, 0
12, 3, 3, 67/33/0, 1.50, 0, 0
13, 2, 2, 0/50/50, 2.00, 0, 0
14, 4, 4, 25/0/75, 1.33, 0, 0
15, 2, 2, 50/50/0, 1.00, 0, 0
16, 5, 5, 60/40/0, 1.67, 0, 0
17, 5, 5, 20/20/60, 1.67, 0, 0
18, 5, 5, 80/20/0, 2.50, 0, 0
19, 6, 6, 0/0/100, 6.00, 0, 0
20, 3, 3, 0/100/0, 1.00, 0, 0
21, 6, 6, 50/50/0, 3.00, 0, 0
