W:ID, W1, W2, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 6, 11, 27/64/9, 2.75, 1, 0
1, 5, 5, 10, 10/30/60, 3.33, 1, 0
2, 6, 5, 11, 64/9/27, 3.67, 3, 0
3, 5, 5, 10, 30/30/40, 2.50, 4, 0
4, 6, 5, 11, 45/18/36, 2.75, 2, 0
5, 6, 6, 12, 42/33/25, 4.00, 4, 0
6, 6, 5, 11, 45/18/36, 2.75, 2, 0
7, 4, 4, 8, 25/25/50, 2.00, 1, 0
8, 6, 5, 11, 27/45/27, 3.67, 3, 0
9, 5, 5, 10, 20/50/30, 2.00, 0, 0
10, 4, 2, 6, 33/17/50, 1.20, 0, 0
11, 4, 3, 7, 43/14/43, 1.17, 0, 0
12, 3, 6, 9, 56/22/22, 2.25, 0, 0
13, 3, 4, 7, 0/86/14, 2.33, 0, 0
14, 4, 5, 9, 67/0/33, 3.00, 0, 0
15, 4, 4, 8, 0/25/75, 2.00, 0, 0
16, 6, 5, 11, 9/91/0, 2.75, 0, 0
17, 3, 4, 7, 57/0/43, 1.40, 0, 0
18, 5, 5, 10, 20/30/50, 3.33, 0, 0
19, 4, 5, 9, 67/11/22, 3.00, 0, 0
20, 6, 5, 11, 36/55/9, 2.75, 0, 0
21, 5, 6, 11, 9/36/55, 3.67, 0, 0
