W:ID, W1, W2, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 10, 20/70/10, 2.50, 1, 0
1, 5, 6, 11, 18/27/55, 2.75, 2, 0
2, 6, 5, 11, 73/0/27, 3.67, 3, 0
3, 5, 6, 11, 27/36/36, 2.75, 4, 0
4, 6, 5, 11, 55/27/18, 2.75, 2, 0
5, 5, 5, 10, 60/10/30, 2.50, 5, 0
6, 6, 5, 11, 27/27/45, 2.75, 0, 0
7, 5, 5, 10, 20/30/50, 3.33, 1, 0
8, 5, 5, 10, 40/40/20, 2.50, 0, 0
9, 5, 5, 10, 10/70/20, 2.50, 3, 0
10, 5, 5, 10, 20/20/60, 2.00, 0, 0
11, 5, 0, 5, 20/20/60, 1.67, 0, 0
12, 1, 5, 6, 83/17/0, 3.00, 0, 0
13, 5, 5, 10, 10/70/20, 3.33, 0, 0
14, 5, 5, 10, 60/0/40, 2.50, 0, 0
15, 5, 3, 8, 12/38/50, 2.00, 0, 0
16, 1, 5, 6, 17/17/67, 1.50, 0, 0
17, 5, 5, 10, 20/70/10, 2.00, 0, 0
18, 5, 5, 10, 40/40/20, 3.33, 0, 0
19, 5, 5, 10, 40/20/40, 2.50, 0, 0
20, 5, 5, 10, 50/40/10, 2.00, 0, 0
21, 5, 5, 10, 10/30/60, 2.00, 0, 0
