['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -782837000.0, -1084863000.0, -881322690.4761904, -783590000.0, 18, 66, 17, 0.08171521035598706
2, -683391000.0, -783630000.0, -723821969.6969697, -684991000.0, 17, 49, 35, 0.10264227642276423
3, -682834000.0, -686821000.0, -685424763.6363636, -682871000.0, 12, 43, 46, 0.06733333333333333
4, -586198000.0, -685568000.0, -639799610.1694915, -586198000.0, 6, 53, 42, 0.07173295454545454
5, -584381000.0, -587001000.0, -586051061.2244898, -587001000.0, 6, 43, 52, 0.08238172920065252
6, -586421000.0, -637541000.0, -609692017.5438596, -588638000.0, 11, 46, 44, 0.08402662229617304
7, -587198000.0, -590318000.0, -588685316.6666666, -590318000.0, 4, 56, 41, 0.07245337159253945
8, -590128000.0, -593558000.0, -591610885.7142857, -590218000.0, 11, 59, 31, 0.07324147933284988
9, -589594000.0, -592768000.0, -591529538.4615384, -590868000.0, 10, 55, 36, 0.08333333333333333
10, -539188000.0, -591568000.0, -568529135.5932204, -539438000.0, 13, 46, 42, 0.06575520833333333
11, -489425000.0, -541618000.0, -509669365.0793651, -541618000.0, 5, 58, 38, 0.07077785564120533
12, -491335000.0, -541705000.0, -511936666.6666667, -491335000.0, 6, 48, 47, 0.06558441558441558
13, -490925000.0, -491345000.0, -491180600.0, -491055000.0, 5, 45, 51, 0.05834777585210861
14, -488448000.0, -541345000.0, -503252586.20689654, -488448000.0, 4, 54, 43, 0.07240143369175628
15, -488198000.0, -491005000.0, -489905200.0, -489888000.0, 4, 41, 56, 0.06495176848874598
16, -489148000.0, -489888000.0, -489576195.1219512, -489525000.0, 4, 37, 60, 0.0804780876494024
17, -488405000.0, -489565000.0, -489075111.1111111, -488862000.0, 4, 32, 65, 0.0716820440028389
18, -487525000.0, -489565000.0, -488617658.5365854, -488195000.0, 4, 37, 60, 0.07751343054489639
19, -484702000.0, -489312000.0, -486955428.5714286, -486815000.0, 5, 44, 52, 0.07260963335729691
20, -484325000.0, -486815000.0, -486377652.17391306, -484325000.0, 3, 43, 55, 0.05878928987194412
21, -482945000.0, -485012000.0, -483808093.0232558, -485012000.0, 7, 36, 58, 0.0925756186984418
22, -485049000.0, -489792000.0, -486583288.8888889, -489792000.0, 1, 44, 56, 0.08647260273972603
23, -487312000.0, -490485000.0, -489086224.4897959, -489425000.0, 8, 41, 52, 0.07781201848998459
24, -489425000.0, -491755000.0, -490540928.5714286, -491755000.0, 4, 38, 59, 0.08164915117219078
25, -488042000.0, -491792000.0, -489820732.14285713, -490728000.0, 9, 47, 45, 0.08015873015873017
26, -489028000.0, -539598000.0, -490090034.48275864, -489178000.0, 3, 55, 43, 0.06640368178829717
27, -488842000.0, -490595000.0, -489865700.0, -489892000.0, 7, 43, 51, 0.07276657060518732
28, -439972000.0, -541329000.0, -516518785.71428573, -439972000.0, 7, 35, 59, 0.08559322033898305
29, -436359000.0, -439975000.0, -438606953.4883721, -436359000.0, 6, 37, 58, 0.0689419795221843
30, -435619000.0, -438845000.0, -437597423.0769231, -438398000.0, 6, 46, 49, 0.07757296466973887
31, -436538000.0, -438398000.0, -437428595.2380952, -437948000.0, 6, 36, 59, 0.0743740795287187
32, -437631000.0, -488651000.0, -439718868.42105263, -437631000.0, 6, 32, 63, 0.0710267229254571
33, -437631000.0, -491064000.0, -468761518.5185185, -488671000.0, 6, 48, 47, 0.08699397071490095
34, -486185000.0, -488671000.0, -487241955.5555556, -488385000.0, 6, 39, 56, 0.06706507304116865
35, -488125000.0, -490842000.0, -489337288.8888889, -490842000.0, 3, 42, 56, 0.07147912243453644
36, -489032000.0, -490469000.0, -489740523.8095238, -489998000.0, 7, 35, 59, 0.0698478561549101
37, -437369000.0, -489998000.0, -449069642.85714287, -437369000.0, 5, 37, 59, 0.07927786499215071
38, -386185000.0, -437369000.0, -390634829.78723407, -387265000.0, 8, 39, 54, 0.08231458842705787
39, -338958000.0, -388305000.0, -345794568.1818182, -339045000.0, 4, 40, 57, 0.07559880239520958
40, -338958000.0, -341071000.0, -340335184.2105263, -339341000.0, 3, 35, 63, 0.07698170731707317
41, -338321000.0, -339381000.0, -338746902.4390244, -338348000.0, 4, 37, 60, 0.09215328467153285
42, -337232000.0, -339235000.0, -338422326.9230769, -339235000.0, 2, 50, 49, 0.0924908424908425
43, -338815000.0, -340925000.0, -339871804.8780488, -338855000.0, 5, 36, 60, 0.0779320987654321
44, -335904000.0, -338855000.0, -337346148.9361702, -335904000.0, 5, 42, 54, 0.08319604612850082
45, -334541000.0, -335904000.0, -335195555.5555556, -334541000.0, 4, 50, 47, 0.07229778095919828
46, -333798000.0, -335661000.0, -335076863.6363636, -333798000.0, 3, 41, 57, 0.07634164777021919
47, -334131000.0, -335618000.0, -334517066.6666667, -334131000.0, 4, 41, 56, 0.07004160887656033
48, -333311000.0, -334711000.0, -333728439.0243902, -334711000.0, 2, 39, 60, 0.07847707847707848
49, -333098000.0, -335128000.0, -334164840.90909094, -333098000.0, 6, 38, 57, 0.08625106746370624
50, -333098000.0, -336474000.0, -335989387.75510204, -336384000.0, 6, 43, 52, 0.08523206751054853
