W:ID, W1, W2, W3, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 5, 15, 27/33/40, 2.50, 1, 0
1, 5, 4, 5, 14, 29/36/36, 4.67, 1, 0
2, 5, 5, 5, 15, 67/13/20, 2.14, 4, 0
3, 6, 5, 5, 16, 44/19/38, 2.67, 2, 0
4, 5, 5, 5, 15, 7/60/33, 2.14, 4, 0
5, 5, 5, 5, 15, 47/27/27, 2.50, 3, 0
6, 5, 5, 5, 15, 20/33/47, 2.14, 4, 0
7, 5, 5, 5, 15, 27/13/60, 3.00, 2, 0
8, 5, 5, 6, 16, 38/50/12, 4.00, 3, 0
9, 5, 6, 5, 16, 38/56/6, 4.00, 2, 0
10, 2, 2, 5, 9, 44/22/33, 1.50, 0, 0
11, 5, 5, 2, 12, 42/58/0, 2.40, 0, 0
12, 5, 5, 5, 15, 40/53/7, 3.00, 0, 0
13, 6, 5, 5, 16, 12/12/75, 4.00, 0, 0
14, 5, 5, 5, 15, 27/47/27, 2.50, 0, 0
15, 5, 3, 5, 13, 15/15/69, 2.17, 0, 0
16, 5, 5, 5, 15, 53/20/27, 2.50, 0, 0
17, 5, 5, 5, 15, 40/40/20, 2.14, 0, 0
18, 5, 5, 2, 12, 0/50/50, 2.00, 0, 0
19, 5, 5, 5, 15, 53/27/20, 2.50, 0, 0
20, 5, 5, 5, 15, 13/33/53, 2.50, 0, 0
21, 1, 5, 5, 11, 55/9/36, 2.75, 0, 0
