W:ID, W1, W2, W3, W4, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 4, 5, 4, 19, 58/21/21, 2.38, 1, 0
1, 6, 6, 5, 4, 21, 14/38/48, 3.50, 2, 0
2, 6, 4, 5, 6, 21, 29/38/33, 2.62, 5, 0
3, 4, 4, 6, 5, 19, 58/32/11, 2.71, 4, 0
4, 5, 5, 4, 6, 20, 10/45/45, 2.50, 4, 0
5, 5, 5, 4, 6, 20, 30/20/50, 2.50, 6, 0
6, 6, 5, 5, 5, 21, 43/29/29, 3.00, 0, 0
7, 6, 5, 6, 5, 22, 32/36/32, 3.14, 3, 0
8, 5, 5, 6, 5, 21, 29/33/38, 3.00, 5, 0
9, 6, 4, 5, 5, 20, 30/45/25, 2.86, 6, 0
10, 2, 4, 5, 5, 16, 38/31/31, 2.67, 0, 0
11, 6, 4, 3, 4, 17, 12/47/41, 2.43, 0, 0
12, 2, 5, 3, 4, 14, 43/43/14, 1.75, 0, 0
13, 2, 4, 5, 3, 14, 43/21/36, 1.40, 0, 0
14, 5, 6, 4, 4, 19, 26/53/21, 2.38, 0, 0
15, 3, 4, 6, 3, 16, 62/19/19, 1.78, 0, 0
16, 5, 4, 5, 5, 19, 32/32/37, 2.11, 0, 0
17, 5, 6, 4, 6, 21, 29/19/52, 3.00, 0, 0
18, 6, 5, 5, 6, 22, 27/23/50, 3.14, 0, 0
19, 5, 5, 5, 5, 20, 40/45/15, 2.50, 0, 0
20, 5, 6, 4, 4, 19, 47/32/21, 2.71, 0, 0
21, 4, 5, 5, 5, 19, 16/32/53, 2.38, 0, 0
