W:ID, W1, W2, W3, W4, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 5, 5, 20, 70/15/15, 2.50, 2, 0
1, 6, 5, 5, 6, 22, 14/18/68, 3.67, 2, 0
2, 5, 5, 5, 5, 20, 20/60/20, 2.50, 3, 0
3, 5, 5, 6, 5, 21, 57/33/10, 3.00, 6, 0
4, 5, 5, 4, 6, 20, 10/45/45, 2.86, 6, 0
5, 5, 5, 4, 5, 19, 21/32/47, 2.71, 3, 0
6, 5, 5, 5, 5, 20, 45/30/25, 2.86, 3, 0
7, 5, 5, 6, 5, 21, 43/29/29, 3.00, 2, 0
8, 6, 5, 5, 5, 21, 24/19/57, 3.50, 6, 0
9, 6, 3, 5, 5, 19, 37/42/21, 2.71, 2, 0
10, 3, 5, 5, 5, 18, 56/11/33, 3.00, 0, 0
11, 5, 4, 5, 3, 17, 6/47/47, 1.70, 0, 0
12, 5, 5, 2, 5, 17, 29/59/12, 1.70, 0, 0
13, 2, 5, 5, 5, 17, 29/29/41, 1.89, 0, 0
14, 5, 5, 3, 5, 18, 28/56/17, 2.25, 0, 0
15, 5, 5, 5, 1, 16, 38/31/31, 2.67, 0, 0
16, 5, 5, 5, 5, 20, 45/25/30, 2.22, 0, 0
17, 5, 5, 5, 5, 20, 30/20/50, 4.00, 0, 0
18, 5, 5, 5, 6, 21, 24/19/57, 3.00, 0, 0
19, 2, 5, 5, 5, 17, 29/47/24, 1.89, 0, 0
20, 5, 5, 5, 5, 20, 50/20/30, 2.50, 0, 0
21, 5, 3, 5, 3, 16, 25/62/12, 1.78, 0, 0
