['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -1193408000.0, -1594149000.0, -1345597761.1940298, -1193408000.0, 16, 51, 34, 0.07739463601532567
2, -994195000.0, -1142368000.0, -1076636671.875, -994195000.0, 10, 54, 37, 0.06778523489932886
3, -841559000.0, -994909000.0, -915486403.5087719, -842639000.0, 13, 44, 44, 0.08340214698596202
4, -842299000.0, -942719000.0, -905585596.1538461, -892719000.0, 7, 45, 49, 0.08581138487680544
5, -838929000.0, -942729000.0, -892355765.9574468, -839015000.0, 8, 39, 54, 0.07442888725128961
6, -839015000.0, -892288000.0, -861854078.4313725, -891518000.0, 8, 43, 50, 0.07410124724871607
7, -790604000.0, -891518000.0, -834768587.3015873, -790604000.0, 8, 55, 38, 0.06636005256241786
8, -789057000.0, -841311000.0, -796096629.6296296, -789057000.0, 10, 44, 47, 0.08132045088566828
9, -787937000.0, -889774000.0, -844638550.0, -840594000.0, 11, 49, 41, 0.08184764991896272
10, -787614000.0, -841817000.0, -829360962.264151, -788690000.0, 12, 41, 48, 0.07287157287157287
11, -736913000.0, -789110000.0, -747228883.3333334, -738053000.0, 9, 51, 41, 0.07940251572327044
12, -687680000.0, -739050000.0, -730479442.6229508, -688924000.0, 8, 53, 40, 0.07878315132605304
13, -688224000.0, -788008000.0, -725044877.5510204, -689268000.0, 6, 43, 52, 0.07219442458899214
14, -688678000.0, -689755000.0, -689229857.1428572, -689755000.0, 6, 43, 52, 0.08544839255499154
15, -687514000.0, -689755000.0, -688332235.2941177, -688901000.0, 8, 43, 50, 0.08278688524590164
16, -687124000.0, -689401000.0, -688589666.6666666, -689361000.0, 3, 39, 59, 0.06416772554002541
17, -635365000.0, -689361000.0, -644568666.6666666, -638538000.0, 10, 41, 50, 0.08480268681780016
18, -637548000.0, -640941000.0, -639425040.8163265, -640328000.0, 6, 43, 52, 0.08603066439522998
19, -639164000.0, -740154000.0, -663592000.0, -639164000.0, 7, 40, 54, 0.08278688524590164
20, -637738000.0, -739291000.0, -654206200.0, -689848000.0, 8, 42, 51, 0.097678916827853
21, -686607000.0, -690024000.0, -688599153.8461539, -688487000.0, 14, 38, 49, 0.09042076991942703
22, -535614000.0, -688817000.0, -608056618.1818181, -535614000.0, 10, 45, 46, 0.10171198388721048
23, -535587000.0, -539591000.0, -537202380.0, -539171000.0, 4, 46, 51, 0.06769436997319035
24, -537924000.0, -588184000.0, -565499617.0212766, -588094000.0, 7, 40, 54, 0.09058295964125561
25, -586421000.0, -638884000.0, -601289911.1111112, -638844000.0, 6, 39, 56, 0.07092696629213484
26, -585081000.0, -638844000.0, -590809596.1538461, -588361000.0, 7, 45, 49, 0.09404096834264432
27, -588361000.0, -590725000.0, -589576833.3333334, -588825000.0, 8, 46, 47, 0.07492581602373888
28, -586665000.0, -589518000.0, -588504500.0, -589138000.0, 5, 37, 59, 0.09190172884440401
29, -589061000.0, -590258000.0, -589795902.4390244, -589888000.0, 7, 34, 60, 0.0781733746130031
30, -588028000.0, -589888000.0, -589121040.8163265, -588771000.0, 7, 42, 52, 0.07639939485627836
31, -588697000.0, -639707000.0, -593103461.5384616, -639707000.0, 2, 37, 62, 0.09198542805100182
32, -637698000.0, -640734000.0, -639092037.735849, -638258000.0, 6, 47, 48, 0.08797909407665505
33, -588014000.0, -638474000.0, -634396857.1428572, -588014000.0, 5, 37, 59, 0.10531803962460896
34, -587274000.0, -590704000.0, -588293333.3333334, -590704000.0, 7, 38, 56, 0.08805579773321709
35, -588171000.0, -591044000.0, -589804208.3333334, -589248000.0, 5, 43, 53, 0.10160965794768612
36, -587994000.0, -589811000.0, -588597948.7179487, -588034000.0, 5, 34, 62, 0.07593984962406015
37, -586977000.0, -588707000.0, -588370550.0, -586977000.0, 3, 37, 61, 0.0711768851303735
38, -586560000.0, -589090000.0, -587149875.0, -589090000.0, 3, 45, 53, 0.07599699021820917
39, -587497000.0, -589410000.0, -588446301.8867924, -587497000.0, 6, 47, 48, 0.08184764991896272
40, -587154000.0, -590464000.0, -589394553.1914893, -590128000.0, 4, 43, 54, 0.08662092624356775
41, -590054000.0, -592174000.0, -590872619.0476191, -590707000.0, 4, 38, 59, 0.06852103120759837
42, -590650000.0, -592467000.0, -591493183.6734694, -590650000.0, 6, 43, 52, 0.06764902880107167
43, -589567000.0, -592810000.0, -591187558.1395348, -592467000.0, 4, 39, 58, 0.08073541167066348
44, -592377000.0, -593677000.0, -592894148.9361702, -592377000.0, 3, 44, 54, 0.07266187050359713
45, -590950000.0, -593174000.0, -591979041.6666666, -592834000.0, 5, 43, 53, 0.08164915117219078
46, -589747000.0, -592834000.0, -591888800.0, -590784000.0, 7, 43, 51, 0.07605421686746988
47, -588357000.0, -590484000.0, -588970783.7837838, -588357000.0, 9, 28, 64, 0.07092696629213484
48, -586360000.0, -589360000.0, -587740833.3333334, -587703000.0, 9, 33, 59, 0.07498144023756496
49, -586517000.0, -589450000.0, -588069775.5102041, -588754000.0, 6, 43, 52, 0.08851884312007012
50, -589137000.0, -589514000.0, -589380630.4347826, -589480000.0, 1, 45, 55, 0.07058001397624039
