W:ID, W1, W2, W3, W4, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 6, 5, 4, 20, 30/20/50, 2.86, 1, 0
1, 6, 5, 5, 5, 21, 24/33/43, 2.62, 5, 0
2, 5, 4, 6, 5, 20, 40/45/15, 2.50, 3, 0
3, 4, 4, 4, 5, 17, 47/12/41, 2.12, 1, 0
4, 5, 5, 5, 5, 20, 25/60/15, 2.50, 4, 0
5, 5, 4, 5, 5, 19, 42/32/26, 2.38, 4, 0
6, 5, 6, 5, 4, 20, 55/45/0, 2.50, 5, 0
7, 6, 5, 5, 6, 22, 23/32/45, 3.67, 3, 0
8, 5, 5, 6, 5, 21, 57/19/24, 2.62, 7, 0
9, 5, 5, 6, 5, 21, 24/29/48, 2.62, 0, 0
10, 4, 5, 3, 4, 16, 12/25/62, 1.78, 0, 0
11, 5, 2, 4, 5, 16, 6/62/31, 2.00, 0, 0
12, 4, 4, 4, 5, 17, 29/12/59, 1.89, 0, 0
13, 4, 5, 4, 3, 16, 56/44/0, 2.29, 0, 0
14, 1, 4, 5, 4, 14, 14/50/36, 1.75, 0, 0
15, 6, 6, 4, 4, 20, 10/60/30, 2.86, 0, 0
16, 4, 5, 5, 5, 19, 42/26/32, 2.38, 0, 0
17, 5, 4, 6, 5, 20, 55/5/40, 2.86, 0, 0
18, 5, 5, 5, 5, 20, 25/50/25, 2.86, 0, 0
19, 5, 6, 3, 5, 19, 53/32/16, 3.17, 0, 0
20, 6, 4, 6, 6, 22, 18/32/50, 3.67, 0, 0
21, 5, 6, 4, 5, 20, 40/15/45, 2.86, 0, 0
