W:ID, W1, W2, W3, W4, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 4, 6, 4, 19, 42/16/42, 2.71, 4, 0
1, 5, 6, 5, 5, 21, 24/29/48, 2.62, 7, 0
2, 6, 5, 5, 5, 21, 29/33/38, 3.00, 1, 0
3, 5, 5, 5, 5, 20, 45/35/20, 2.86, 3, 0
4, 5, 5, 5, 5, 20, 20/60/20, 2.86, 2, 0
5, 5, 5, 5, 6, 21, 38/38/24, 3.00, 3, 0
6, 5, 6, 5, 5, 21, 48/52/0, 2.62, 4, 0
7, 6, 5, 5, 6, 22, 18/23/59, 3.67, 5, 0
8, 6, 5, 5, 5, 21, 62/14/24, 3.00, 5, 0
9, 5, 5, 6, 5, 21, 19/19/62, 2.62, 5, 0
10, 5, 5, 5, 1, 16, 19/19/62, 2.29, 0, 0
11, 5, 1, 5, 6, 17, 18/59/24, 2.83, 0, 0
12, 5, 5, 2, 5, 17, 24/35/41, 1.89, 0, 0
13, 1, 6, 5, 5, 17, 65/29/6, 2.43, 0, 0
14, 2, 5, 5, 6, 18, 22/56/22, 3.60, 0, 0
15, 5, 5, 5, 5, 20, 10/55/35, 2.86, 0, 0
16, 5, 2, 5, 5, 17, 53/18/29, 2.12, 0, 0
17, 5, 5, 5, 1, 16, 56/6/38, 2.29, 0, 0
18, 5, 5, 1, 5, 16, 6/56/38, 2.00, 0, 0
19, 5, 5, 5, 5, 20, 50/25/25, 2.22, 0, 0
20, 4, 5, 5, 5, 19, 21/42/37, 3.17, 0, 0
21, 5, 5, 5, 5, 20, 45/15/40, 2.50, 0, 0
