['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -543090000.0, -546000000.0, -544222580.6451613, -543530000.0, 29, 33, 39, 0.04057854560064283
2, -444210000.0, -545670000.0, -502690540.5405405, -444550000.0, 15, 22, 64, 0.037050623624358035
3, -444210000.0, -444970000.0, -444536666.6666667, -444550000.0, 6, 9, 86, 0.0333553500660502
4, -444210000.0, -444970000.0, -444576666.6666667, -444970000.0, 7, 14, 80, 0.037518573551263
5, -444210000.0, -444970000.0, -444660434.7826087, -444630000.0, 11, 12, 78, 0.040513437625350986
6, -444210000.0, -444930000.0, -444434000.0, -444630000.0, 8, 12, 81, 0.03117283950617284
7, -444210000.0, -444970000.0, -444569047.61904764, -444550000.0, 8, 13, 80, 0.030802073802988716
8, -444210000.0, -444970000.0, -444575555.5555556, -444970000.0, 6, 12, 83, 0.033543673198273
9, -444210000.0, -444970000.0, -444535384.61538464, -444550000.0, 12, 14, 75, 0.03929961089494163
10, -444210000.0, -444970000.0, -444637272.72727275, -444550000.0, 9, 13, 79, 0.026460571129159026
11, -444210000.0, -444970000.0, -444616000.0, -444210000.0, 9, 11, 81, 0.03201267828843106
12, -444210000.0, -444970000.0, -444627647.0588235, -444630000.0, 7, 10, 84, 0.03920807453416149
13, -444210000.0, -444970000.0, -444402222.2222222, -444210000.0, 6, 12, 83, 0.03292046936114733
14, -444210000.0, -444970000.0, -444557096.7741935, -444210000.0, 11, 20, 70, 0.03545103545103545
15, -444210000.0, -444630000.0, -444379523.8095238, -444210000.0, 7, 14, 80, 0.041891331397760266
16, -444210000.0, -444970000.0, -444538000.0, -444970000.0, 10, 15, 76, 0.037644427879239654
17, -444210000.0, -444930000.0, -444437368.42105263, -444550000.0, 9, 10, 82, 0.03575221238938053
18, -444210000.0, -444930000.0, -444664545.45454544, -444550000.0, 5, 6, 90, 0.036727272727272726
19, -444210000.0, -444970000.0, -444464444.4444444, -444550000.0, 6, 12, 83, 0.03596866096866097
20, -444210000.0, -444970000.0, -444430000.0, -444210000.0, 6, 14, 81, 0.05065195586760281
21, -444210000.0, -444970000.0, -444631052.6315789, -444550000.0, 7, 12, 82, 0.03687477181453085
22, -444210000.0, -444930000.0, -444530000.0, -444550000.0, 3, 10, 88, 0.04085760517799353
23, -444210000.0, -444930000.0, -444594000.0, -444630000.0, 7, 8, 86, 0.03599429793300071
24, -444210000.0, -444970000.0, -444490000.0, -444550000.0, 9, 15, 77, 0.03617478510028653
25, -444210000.0, -444930000.0, -444381764.7058824, -444210000.0, 6, 11, 84, 0.03663402248821183
26, -444210000.0, -444970000.0, -444544545.45454544, -444930000.0, 7, 15, 79, 0.041666666666666664
27, -444210000.0, -444970000.0, -444590909.09090906, -444970000.0, 9, 13, 79, 0.03577754162238753
28, -444210000.0, -444970000.0, -444511000.0, -444970000.0, 6, 14, 81, 0.0333994708994709
29, -444210000.0, -444970000.0, -444510000.0, -444630000.0, 10, 13, 78, 0.037757009345794394
