W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 6, 33/50/17, 3.00, 2, 0
1, 5, 5, 20/60/20, 2.50, 0, 0
2, 5, 5, 60/0/40, 2.50, 1, 1
3, 5, 5, 40/0/60, 1.67, 2, 0
4, 6, 6, 0/67/33, 3.00, 1, 1
5, 6, 6, 50/33/17, 3.00, 2, 1
6, 6, 6, 67/17/17, 3.00, 0, 0
7, 5, 5, 20/40/40, 2.50, 1, 1
8, 5, 5, 20/80/0, 2.50, 2, 0
9, 6, 6, 17/0/83, 3.00, 2, 0
10, 4, 4, 50/50/0, 1.33, 0, 0
11, 4, 4, 75/0/25, 2.00, 0, 0
12, 4, 4, 0/25/75, 1.33, 0, 0
13, 4, 4, 0/50/50, 1.33, 0, 1
14, 3, 3, 67/33/0, 1.50, 0, 1
15, 4, 4, 50/25/25, 1.33, 0, 0
16, 4, 4, 0/25/75, 1.33, 0, 1
17, 4, 4, 25/25/50, 2.00, 0, 0
18, 6, 6, 17/83/0, 3.00, 0, 1
19, 5, 5, 0/40/60, 2.50, 0, 0
20, 5, 5, 80/0/20, 2.50, 0, 0
21, 3, 3, 67/0/33, 1.50, 0, 0
