W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 6, 0/83/17, 3.00, 0, 1
1, 5, 5, 40/0/60, 5.00, 2, 0
2, 5, 5, 20/60/20, 2.50, 2, 1
3, 5, 5, 40/0/60, 2.50, 1, 0
4, 5, 5, 80/0/20, 2.50, 0, 0
5, 6, 6, 67/17/17, 3.00, 3, 1
6, 5, 5, 40/60/0, 2.50, 0, 1
7, 5, 5, 40/20/40, 2.50, 1, 1
8, 5, 5, 0/20/80, 2.50, 0, 0
9, 5, 5, 20/80/0, 5.00, 1, 1
10, 5, 5, 40/20/40, 2.50, 0, 1
11, 5, 5, 0/20/80, 2.50, 0, 0
12, 5, 5, 40/60/0, 1.67, 0, 1
13, 1, 1, 100/0/0, 1.00, 0, 0
14, 5, 5, 80/20/0, 2.50, 0, 0
15, 1, 1, 0/100/0, 1.00, 0, 0
16, 5, 5, 0/40/60, 2.50, 0, 1
17, 5, 5, 20/20/60, 1.67, 0, 1
18, 6, 6, 50/33/17, 3.00, 0, 0
19, 5, 5, 0/40/60, 2.50, 0, 0
20, 5, 5, 40/0/60, 2.50, 0, 0
21, 5, 5, 40/60/0, 2.50, 0, 1
